"종목별","항목","단위","2019 년","2020 년","2021 년","2022 년","2023 년",
"건축시공기술사","실기합격[명]","명","247","259","157","148","110",
"건축시공기술사","실기합격률[%]","%","67.67","67.8","67.09","58.73","52.88",
"건축품질시험기술사","필기접수[명]","명","39","55","73","64","63",
"건축품질시험기술사","필기응시[명]","명","33","49","60","50","55",
"건축품질시험기술사","필기합격[명]","명","8","7","5","4","2",
"건축품질시험기술사","필기합격률[%]","%","24.24","14.29","8.33","8","3.64",
"건축품질시험기술사","실기접수[명]","명","8","7","7","7","4",
"건축품질시험기술사","실기응시[명]","명","8","7","7","7","4",
"건축품질시험기술사","실기합격[명]","명","8","5","4","4","4",
"건축품질시험기술사","실기합격률[%]","%","100","71.43","57.14","57.14","100",
"토목","필기접수[명]","명","6577","6389","7055","6708","7737",
"토목","필기응시[명]","명","5518","5087","5567","5351","6186",
"토목","필기합격[명]","명","753","580","575","538","449",
"토목","필기합격률[%]","%","13.65","11.4","10.33","10.05","7.26",
"토목","실기접수[명]","명","1116","932","902","830","718",
"토목","실기응시[명]","명","1106","921","897","823","713",
"토목","실기합격[명]","명","732","595","579","524","447",
"토목","실기합격률[%]","%","66.18","64.6","64.55","63.67","62.69",
"토질및기초기술사","필기접수[명]","명","997","1028","1231","1183","1360",
"토질및기초기술사","필기응시[명]","명","823","802","979","960","1124",
"토질및기초기술사","필기합격[명]","명","77","90","51","53","34",
"토질및기초기술사","필기합격률[%]","%","9.36","11.22","5.21","5.52","3.02",
"토질및기초기술사","실기접수[명]","명","134","158","106","81","62",
"토질및기초기술사","실기응시[명]","명","134","157","106","81","62",
"토질및기초기술사","실기합격[명]","명","70","92","61","48","39",
"토질및기초기술사","실기합격률[%]","%","52.24","58.6","57.55","59.26","62.9",
"토목구조기술사","필기접수[명]","명","474","411","449","433","484",
"토목구조기술사","필기응시[명]","명","401","342","368","355","394",
"토목구조기술사","필기합격[명]","명","48","29","61","17","27",
"토목구조기술사","필기합격률[%]","%","11.97","8.48","16.58","4.79","6.85",
"토목구조기술사","실기접수[명]","명","71","49","78","34","38",
"토목구조기술사","실기응시[명]","명","70","49","77","32","38",
"토목구조기술사","실기합격[명]","명","41","36","56","21","23",
"토목구조기술사","실기합격률[%]","%","58.57","73.47","72.73","65.63","60.53",
"항만및해안기술사","필기접수[명]","명","91","44","50","46","45",
"항만및해안기술사","필기응시[명]","명","83","33","38","37","34",
"항만및해안기술사","필기합격[명]","명","7","5","3","5","4",
"항만및해안기술사","필기합격률[%]","%","8.43","15.15","7.89","13.51","11.76",
"항만및해안기술사","실기접수[명]","명","9","7","4","5","7",
"항만및해안기술사","실기응시[명]","명","9","7","4","5","7",
"항만및해안기술사","실기합격[명]","명","6","6","4","2","7",
"항만및해안기술사","실기합격률[%]","%","66.67","85.71","100","40","100",
"도로및공항기술사","필기접수[명]","명","458","436","445","382","419",
"도로및공항기술사","필기응시[명]","명","388","353","355","290","338",
"도로및공항기술사","필기합격[명]","명","68","51","37","28","31",
"도로및공항기술사","필기합격률[%]","%","17.53","14.45","10.42","9.66","9.17",
"도로및공항기술사","실기접수[명]","명","90","80","60","40","35",
"도로및공항기술사","실기응시[명]","명","89","80","60","40","35",
"도로및공항기술사","실기합격[명]","명","63","53","40","30","31",
"도로및공항기술사","실기합격률[%]","%","70.79","66.25","66.67","75","88.57",
"철도기술사","필기접수[명]","명","204","199","213","250","275",
"철도기술사","필기응시[명]","명","163","152","158","197","209",
"철도기술사","필기합격[명]","명","19","22","24","18","25",
"철도기술사","필기합격률[%]","%","11.66","14.47","15.19","9.14","11.96",
"철도기술사","실기접수[명]","명","26","29","30","22","30",
"철도기술사","실기응시[명]","명","25","27","29","22","30",
"철도기술사","실기합격[명]","명","19","21","26","18","24",
"철도기술사","실기합격률[%]","%","76","77.78","89.66","81.82","80",
"수자원개발기술사","필기접수[명]","명","251","238","302","332","373",
"수자원개발기술사","필기응시[명]","명","202","176","208","251","281",
"수자원개발기술사","필기합격[명]","명","20","11","27","32","13",
"수자원개발기술사","필기합격률[%]","%","9.9","6.25","12.98","12.75","4.63",
"수자원개발기술사","실기접수[명]","명","26","15","37","38","20",
"수자원개발기술사","실기응시[명]","명","26","15","37","38","20",
"수자원개발기술사","실기합격[명]","명","20","8","28","31","17",
"수자원개발기술사","실기합격률[%]","%","76.92","53.33","75.68","81.58","85",
"상하수도기술사","필기접수[명]","명","448","439","587","633","764",
"상하수도기술사","필기응시[명]","명","357","323","441","487","573",
"상하수도기술사","필기합격[명]","명","19","60","43","60","34",
"상하수도기술사","필기합격률[%]","%","5.32","18.58","9.75","12.32","5.93",
"상하수도기술사","실기접수[명]","명","54","87","94","107","83",
"상하수도기술사","실기응시[명]","명","53","87","94","107","83",
"상하수도기술사","실기합격[명]","명","23","50","50","51","42",
"상하수도기술사","실기합격률[%]","%","43.4","57.47","53.19","47.66","50.6",
"농어업토목기술사","필기접수[명]","명","110","112","97","55","48",
"농어업토목기술사","필기응시[명]","명","93","94","79","44","41",
"농어업토목기술사","필기합격[명]","명","12","11","19","6","5",
"농어업토목기술사","필기합격률[%]","%","12.9","11.7","24.05","13.64","12.2",
"농어업토목기술사","실기접수[명]","명","13","18","24","14","6",
"농어업토목기술사","실기응시[명]","명","13","18","24","14","6",
"농어업토목기술사","실기합격[명]","명","11","12","16","10","5",
"농어업토목기술사","실기합격률[%]","%","84.62","66.67","66.67","71.43","83.33",
"토목시공기술사","필기접수[명]","명","3057","3009","3169","2895","3359",
"토목시공기술사","필기응시[명]","명","2634","2436","2572","2370","2716",
"토목시공기술사","필기합격[명]","명","394","243","262","249","217",
"토목시공기술사","필기합격률[%]","%","14.96","9.98","10.19","10.51","7.99",
"토목시공기술사","실기접수[명]","명","564","391","387","384","338",
"토목시공기술사","실기응시[명]","명","560","385","384","380","334",
"토목시공기술사","실기합격[명]","명","389","260","245","253","207",
"토목시공기술사","실기합격률[%]","%","69.46","67.53","63.8","66.58","61.98",
"토목품질시험기술사","필기접수[명]","명","184","213","203","169","222",
"토목품질시험기술사","필기응시[명]","명","153","180","155","128","179",
"토목품질시험기술사","필기합격[명]","명","44","27","6","29","17",
"토목품질시험기술사","필기합격률[%]","%","28.76","15","3.87","22.66","9.5",
"토목품질시험기술사","실기접수[명]","명","59","40","25","43","32",
"토목품질시험기술사","실기응시[명]","명","59","39","25","42","32",
"토목품질시험기술사","실기합격[명]","명","47","19","16","24","17",
"토목품질시험기술사","실기합격률[%]","%","79.66","48.72","64","57.14","53.13",
"측량및지형공간정보기술사","필기접수[명]","명","85","81","99","114","133",
"측량및지형공간정보기술사","필기응시[명]","명","62","64","69","75","93",
"측량및지형공간정보기술사","필기합격[명]","명","14","10","10","5","10",
"측량및지형공간정보기술사","필기합격률[%]","%","22.58","15.63","14.49","6.67","10.75",
"측량및지형공간정보기술사","실기접수[명]","명","21","17","15","7","12",
"측량및지형공간정보기술사","실기응시[명]","명","21","16","15","7","12",
"측량및지형공간정보기술사","실기합격[명]","명","12","13","9","7","7",
"측량및지형공간정보기술사","실기합격률[%]","%","57.14","81.25","60","100","58.33",
"지적기술사","필기접수[명]","명","81","48","69","55","89",
"지적기술사","필기응시[명]","명","61","41","53","42","73",
"지적기술사","필기합격[명]","명","13","10","10","8","7",
"지적기술사","필기합격률[%]","%","21.31","24.39","18.87","19.05","9.59",
"지적기술사","실기접수[명]","명","16","16","12","15","10",
"지적기술사","실기응시[명]","명","16","16","12","15","9",
"지적기술사","실기합격[명]","명","13","12","7","10","7",
"지적기술사","실기합격률[%]","%","81.25","75","58.33","66.67","77.78",
"해양기술사","필기접수[명]","명","52","46","42","36","49",
"해양기술사","필기응시[명]","명","37","33","29","27","41",
"해양기술사","필기합격[명]","명","4","2","8","9","3",
"해양기술사","필기합격률[%]","%","10.81","6.06","27.59","33.33","7.32",
"해양기술사","실기접수[명]","명","8","5","10","11","10",
"해양기술사","실기응시[명]","명","8","5","10","11","10",
"해양기술사","실기합격[명]","명","4","3","7","4","7",
"해양기술사","실기합격률[%]","%","50","60","70","36.36","70",
"지질및지반기술사","필기접수[명]","명","85","85","99","125","117",
"지질및지반기술사","필기응시[명]","명","61","58","63","88","90",
"지질및지반기술사","필기합격[명]","명","14","9","14","19","22",
"지질및지반기술사","필기합격률[%]","%","22.95","15.52","22.22","21.59","24.44",
"지질및지반기술사","실기접수[명]","명","25","20","20","29","35",
"지질및지반기술사","실기응시[명]","명","23","20","20","29","35",
"지질및지반기술사","실기합격[명]","명","14","10","14","15","14",
"지질및지반기술사","실기합격률[%]","%","60.87","50","70","51.72","40",
"조경","필기접수[명]","명","176","207","228","180","220",
"조경","필기응시[명]","명","132","157","179","147","178",
"조경","필기합격[명]","명","31","16","22","9","50",
"조경","필기합격률[%]","%","23.48","10.19","12.29","6.12","28.09",
"조경","실기접수[명]","명","40","32","36","21","56",
"조경","실기응시[명]","명","40","32","36","21","56",
"조경","실기합격[명]","명","23","21","15","18","25",
"조경","실기합격률[%]","%","57.5","65.63","41.67","85.71","44.64",
"조경기술사","필기접수[명]","명","176","207","228","180","220",
"조경기술사","필기응시[명]","명","132","157","179","147","178",
"조경기술사","필기합격[명]","명","31","16","22","9","50",
"조경기술사","필기합격률[%]","%","23.48","10.19","12.29","6.12","28.09",
"조경기술사","실기접수[명]","명","40","32","36","21","56",
"조경기술사","실기응시[명]","명","40","32","36","21","56",
"조경기술사","실기합격[명]","명","23","21","15","18","25",
"조경기술사","실기합격률[%]","%","57.5","65.63","41.67","85.71","44.64",
"도시.교통","필기접수[명]","명","484","478","563","596","733",
"도시.교통","필기응시[명]","명","410","367","463","463","578",
"도시.교통","필기합격[명]","명","30","29","53","10","32",
"도시.교통","필기합격률[%]","%","7.32","7.9","11.45","2.16","5.54",
"도시.교통","실기접수[명]","명","47","35","66","17","33",
"도시.교통","실기응시[명]","명","47","35","65","17","33",
"도시.교통","실기합격[명]","명","37","31","52","13","28",
"도시.교통","실기합격률[%]","%","78.72","88.57","80","76.47","84.85",
"도시계획기술사","필기접수[명]","명","277","280","358","362","465",
"도시계획기술사","필기응시[명]","명","240","220","296","286","376",
"도시계획기술사","필기합격[명]","명","13","15","40","7","9",
"도시계획기술사","필기합격률[%]","%","5.42","6.82","13.51","2.45","2.39",
"도시계획기술사","실기접수[명]","명","14","19","51","14","10",
"도시계획기술사","실기응시[명]","명","14","19","50","14","10",
"도시계획기술사","실기합격[명]","명","11","15","39","10","8",
"도시계획기술사","실기합격률[%]","%","78.57","78.95","78","71.43","80",
"교통기술사","필기접수[명]","명","207","198","205","234","268",
"교통기술사","필기응시[명]","명","170","147","167","177","202",
"교통기술사","필기합격[명]","명","17","14","13","3","23",
"교통기술사","필기합격률[%]","%","10","9.52","7.78","1.69","11.39",
"교통기술사","실기접수[명]","명","33","16","15","3","23",
"교통기술사","실기응시[명]","명","33","16","15","3","23",
"교통기술사","실기합격[명]","명","26","16","13","3","20",
"교통기술사","실기합격률[%]","%","78.79","100","86.67","100","86.96",
"광업자원","필기접수[명]","명","45","35","44","35","31",
"광업자원","필기응시[명]","명","34","28","28","26","20",
"광업자원","필기합격[명]","명","4","5","8","3","6",
"광업자원","필기합격률[%]","%","11.76","17.86","28.57","11.54","30",
"광업자원","실기접수[명]","명","9","10","11","9","8",
"광업자원","실기응시[명]","명","9","10","11","8","8",
"광업자원","실기합격[명]","명","4","5","3","5","6",
"광업자원","실기합격률[%]","%","44.44","50","27.27","62.5","75",
"채광","필기접수[명]","명","28","25","35","26","20",
"채광","필기응시[명]","명","23","20","24","20","16",
"채광","필기합격[명]","명","3","3","6","2","4",
"채광","필기합격률[%]","%","13.04","15","25","10","25",
"채광","실기접수[명]","명","7","7","7","7","5",
"채광","실기응시[명]","명","7","7","7","6","5",
"채광","실기합격[명]","명","3","4","2","4","4",
"채광","실기합격률[%]","%","42.86","57.14","28.57","66.67","80",
"자원관리기술사","필기접수[명]","명","11","10","8","9","5",
"자원관리기술사","필기응시[명]","명","10","9","6","6","3",
"자원관리기술사","필기합격[명]","명","2","1","3","1","1",
"자원관리기술사","필기합격률[%]","%","20","11.11","50","16.67","33.33",
"자원관리기술사","실기접수[명]","명","4","3","3","3","2",
"자원관리기술사","실기응시[명]","명","4","3","3","3","2",
"자원관리기술사","실기합격[명]","명","2","2","1","2","2",
"자원관리기술사","실기합격률[%]","%","50","66.67","33.33","66.67","100",
"화약류관리기술사","필기접수[명]","명","17","15","27","17","15",
"화약류관리기술사","필기응시[명]","명","13","11","18","14","13",
"화약류관리기술사","필기합격[명]","명","1","2","3","1","3",
"화약류관리기술사","필기합격률[%]","%","7.69","18.18","16.67","7.14","23.08",
"화약류관리기술사","실기접수[명]","명","3","4","4","4","3",
"화약류관리기술사","실기응시[명]","명","3","4","4","3","3",
"화약류관리기술사","실기합격[명]","명","1","2","1","2","2",
"화약류관리기술사","실기합격률[%]","%","33.33","50","25","66.67","66.67",
"광해방지","필기접수[명]","명","17","10","9","9","11",
"광해방지","필기응시[명]","명","11","8","4","6","4",
"광해방지","필기합격[명]","명","1","2","2","1","2",
"광해방지","필기합격률[%]","%","9.09","25","50","16.67","50",
"광해방지","실기접수[명]","명","2","3","4","2","3",
"광해방지","실기응시[명]","명","2","3","4","2","3",
"광해방지","실기합격[명]","명","1","1","1","1","2",
"광해방지","실기합격률[%]","%","50","33.33","25","50","66.67",
"광해방지기술사","필기접수[명]","명","17","10","9","9","11",
"광해방지기술사","필기응시[명]","명","11","8","4","6","4",
"광해방지기술사","필기합격[명]","명","1","2","2","1","2",
"광해방지기술사","필기합격률[%]","%","9.09","25","50","16.67","50",
"광해방지기술사","실기접수[명]","명","2","3","4","2","3",
"광해방지기술사","실기응시[명]","명","2","3","4","2","3",
"광해방지기술사","실기합격[명]","명","1","1","1","1","2",
"광해방지기술사","실기합격률[%]","%","50","33.33","25","50","66.67",
"기계","필기접수[명]","명","1081","1106","1076","885","1148",
"기계","필기응시[명]","명","943","935","887","727","950",
"기계","필기합격[명]","명","175","145","129","144","135",
"기계","필기합격률[%]","%","18.56","15.51","14.54","19.81","14.21",
"기계","실기접수[명]","명","347","314","270","268","284",
"기계","실기응시[명]","명","344","313","270","266","284",
"기계","실기합격[명]","명","151","146","126","111","110",
"기계","실기합격률[%]","%","43.9","46.65","46.67","41.73","38.73",
"기계제작","필기접수[명]","명","45","38","41","39","67",
"기계제작","필기응시[명]","명","42","35","31","30","48",
"기계제작","필기합격[명]","명","15","16","8","11","15",
"기계제작","필기합격률[%]","%","35.71","45.71","25.81","36.67","31.25",
"기계제작","실기접수[명]","명","22","24","21","22","27",
"기계제작","실기응시[명]","명","22","24","21","20","27",
"기계제작","실기합격[명]","명","11","8","9","4","14",
"기계제작","실기합격률[%]","%","50","33.33","42.86","20","51.85",
"기계기술사","필기접수[명]","명","45","38","41","39","67",
"기계기술사","필기응시[명]","명","42","35","31","30","48",
"기계기술사","필기합격[명]","명","15","16","8","11","15",
"기계기술사","필기합격률[%]","%","35.71","45.71","25.81","36.67","31.25",
"기계기술사","실기접수[명]","명","22","24","21","22","27",
"기계기술사","실기응시[명]","명","22","24","21","20","27",
"기계기술사","실기합격[명]","명","11","8","9","4","14",
"기계기술사","실기합격률[%]","%","50","33.33","42.86","20","51.85",
"기계장비설비.설치","필기접수[명]","명","538","577","582","500","652",
"기계장비설비.설치","필기응시[명]","명","471","490","488","408","551",
"기계장비설비.설치","필기합격[명]","명","51","52","59","80","43",
"기계장비설비.설치","필기합격률[%]","%","10.83","10.61","12.09","19.61","7.8",
"기계장비설비.설치","실기접수[명]","명","110","106","113","149","95",
"기계장비설비.설치","실기응시[명]","명","109","105","113","149","95",
"기계장비설비.설치","실기합격[명]","명","46","60","45","73","36",
"기계장비설비.설치","실기합격률[%]","%","42.2","57.14","39.82","48.99","37.89",
"산업기계설비기술사","필기접수[명]","명","48","38","46","41","40",
"산업기계설비기술사","필기응시[명]","명","44","33","39","35","36",
"산업기계설비기술사","필기합격[명]","명","14","1","8","8","4",
"산업기계설비기술사","필기합격률[%]","%","31.82","3.03","20.51","22.86","11.11",
"산업기계설비기술사","실기접수[명]","명","28","19","13","12","8",
"산업기계설비기술사","실기응시[명]","명","28","19","13","12","8",
"산업기계설비기술사","실기합격[명]","명","9","10","7","8","3",
"산업기계설비기술사","실기합격률[%]","%","32.14","52.63","53.85","66.67","37.5",
"공조냉동기계기술사","필기접수[명]","명","339","356","375","327","468",
"공조냉동기계기술사","필기응시[명]","명","294","295","315","265","399",
"공조냉동기계기술사","필기합격[명]","명","21","13","34","31","17",
"공조냉동기계기술사","필기합격률[%]","%","7.14","4.41","10.79","11.7","4.26",
"공조냉동기계기술사","실기접수[명]","명","60","37","64","65","36",
"공조냉동기계기술사","실기응시[명]","명","59","36","64","65","36",
"공조냉동기계기술사","실기합격[명]","명","21","16","25","34","15",
"공조냉동기계기술사","실기합격률[%]","%","35.59","44.44","39.06","52.31","41.67",
"건설기계기술사","필기접수[명]","명","151","183","161","132","144",
"건설기계기술사","필기응시[명]","명","133","162","134","108","116",
"건설기계기술사","필기합격[명]","명","16","38","17","41","22",
"건설기계기술사","필기합격률[%]","%","12.03","23.46","12.69","37.96","18.97",
"건설기계기술사","실기접수[명]","명","22","50","36","72","51",
"건설기계기술사","실기응시[명]","명","22","50","36","72","51",
"건설기계기술사","실기합격[명]","명","16","34","13","31","18",
"건설기계기술사","실기합격률[%]","%","72.73","68","36.11","43.06","35.29",
"철도","필기접수[명]","명","73","33","49","34","68",
"철도","필기응시[명]","명","62","29","36","28","56",
"철도","필기합격[명]","명","13","6","2","8","15",
"철도","필기합격률[%]","%","20.97","20.69","5.56","28.57","26.79",
"철도","실기접수[명]","명","31","22","5","9","23",
"철도","실기응시[명]","명","31","22","5","9","23",
"철도","실기합격[명]","명","14","10","5","6","14",
"철도","실기합격률[%]","%","45.16","45.45","100","66.67","60.87",
"철도차량기술사","필기접수[명]","명","73","33","49","34","68",
"철도차량기술사","필기응시[명]","명","62","29","36","28","56",
"철도차량기술사","필기합격[명]","명","13","6","2","8","15",
"철도차량기술사","필기합격률[%]","%","20.97","20.69","5.56","28.57","26.79",
"철도차량기술사","실기접수[명]","명","31","22","5","9","23",
"철도차량기술사","실기응시[명]","명","31","22","5","9","23",
"철도차량기술사","실기합격[명]","명","14","10","5","6","14",
"철도차량기술사","실기합격률[%]","%","45.16","45.45","100","66.67","60.87",
"조선","필기접수[명]","명","52","42","51","36","33",
"조선","필기응시[명]","명","44","36","45","28","24",
"조선","필기합격[명]","명","12","14","17","14","1",
"조선","필기합격률[%]","%","27.27","38.89","37.78","50","4.17",
"조선","실기접수[명]","명","18","18","22","20","12",
"조선","실기응시[명]","명","18","18","22","20","12",
"조선","실기합격[명]","명","13","12","13","8","4",
"조선","실기합격률[%]","%","72.22","66.67","59.09","40","33.33",
"조선기술사","필기접수[명]","명","52","42","51","36","33",
"조선기술사","필기응시[명]","명","44","36","45","28","24",
"조선기술사","필기합격[명]","명","12","14","17","14","1",
"조선기술사","필기합격률[%]","%","27.27","38.89","37.78","50","4.17",
"조선기술사","실기접수[명]","명","18","18","22","20","12",
"조선기술사","실기응시[명]","명","18","18","22","20","12",
"조선기술사","실기합격[명]","명","13","12","13","8","4",
"조선기술사","실기합격률[%]","%","72.22","66.67","59.09","40","33.33",
"항공","필기접수[명]","명","33","23","39","25","34",
"항공","필기응시[명]","명","25","20","33","23","23",
"항공","필기합격[명]","명","8","7","9","8","10",
"항공","필기합격률[%]","%","32","35","27.27","34.78","43.48",
"항공","실기접수[명]","명","16","13","13","14","16",
"항공","실기응시[명]","명","16","13","13","14","16",
"항공","실기합격[명]","명","7","4","7","6","5",
"항공","실기합격률[%]","%","43.75","30.77","53.85","42.86","31.25",
"항공기체기술사","필기접수[명]","명","15","10","16","11","21",
"항공기체기술사","필기응시[명]","명","9","9","12","10","13",
"항공기체기술사","필기합격[명]","명","2","3","1","3","8",
"항공기체기술사","필기합격률[%]","%","22.22","33.33","8.33","30","61.54",
"항공기체기술사","실기접수[명]","명","5","6","2","4","8",
"항공기체기술사","실기응시[명]","명","5","6","2","4","8",
"항공기체기술사","실기합격[명]","명","3","3","1","2","1",
